Date Vps1 Ips1 Vps2 Ips2
2019-03-21 16:51:18.019000 0.8 0.024 0.52 0.02
2019-03-21 16:51:25.981000 0.8 0.024 0.52 0.02
2019-03-21 16:51:34.041000 0.8 0.024 0.52 0.02
2019-03-21 16:51:41.931000 0.8 0.024 0.52 0.02
2019-03-21 16:51:49.861000 0.8 0.024 0.52 0.02
2019-03-21 16:51:57.741000 0.8 0.024 0.52 0.02
2019-03-21 16:52:05.761000 0.8 0.024 0.52 0.02
2019-03-21 16:52:13.643000 0.8 0.024 0.52 0.02
2019-03-21 16:52:21.719000 0.8 0.024 0.52 0.02
2019-03-21 16:52:29.621000 0.8 0.024 0.52 0.02
2019-03-21 16:52:37.581000 0.8 0.024 0.52 0.02
2019-03-21 16:52:45.561000 0.8 0.024 0.52 0.02
2019-03-21 16:52:53.441000 0.8 0.024 0.52 0.02
2019-03-21 16:53:01.291000 0.8 0.024 0.52 0.02
2019-03-21 16:53:09.251000 0.8 0.024 0.52 0.02
2019-03-21 16:53:17.242000 0.8 0.024 0.52 0.02
2019-03-21 16:53:25.164000 0.8 0.024 0.52 0.02
2019-03-21 16:53:33.094000 0.8 0.024 0.52 0.02
2019-03-21 16:53:41.004000 0.8 0.024 0.52 0.02
2019-03-21 16:53:48.936000 0.8 0.024 0.52 0.02
2019-03-21 16:53:56.946000 0.8 0.024 0.52 0.02
2019-03-21 16:54:04.856000 0.8 0.024 0.52 0.02
2019-03-21 16:54:12.886000 0.8 0.024 0.52 0.02
2019-03-21 16:54:20.796000 0.8 0.024 0.52 0.02
2019-03-21 16:54:28.816000 0.8 0.024 0.52 0.02
2019-03-21 16:54:36.806000 0.8 0.024 0.52 0.02
2019-03-21 16:54:44.886000 0.8 0.024 0.52 0.02
2019-03-21 16:54:52.816000 0.8 0.024 0.52 0.02
2019-03-21 16:55:00.796000 0.8 0.024 0.52 0.02
2019-03-21 16:55:08.716000 0.8 0.024 0.52 0.02
2019-03-21 16:55:16.656000 0.8 0.024 0.52 0.02
2019-03-21 16:55:24.626000 0.8 0.024 0.52 0.02
2019-03-21 16:55:32.516000 0.8 0.024 0.52 0.02
2019-03-21 16:55:40.526000 0.8 0.024 0.52 0.02
2019-03-21 16:55:48.616000 0.8 0.024 0.52 0.02
2019-03-21 16:55:56.576000 0.8 0.024 0.52 0.02
2019-03-21 16:56:04.536000 0.8 0.024 0.52 0.02
2019-03-21 16:56:12.546000 0.8 0.024 0.52 0.02
2019-03-21 16:56:20.566000 0.8 0.024 0.52 0.02
2019-03-21 16:56:28.546000 0.8 0.024 0.52 0.02
2019-03-21 16:56:36.636000 0.8 0.024 0.52 0.02
2019-03-21 16:56:44.576000 0.8 0.024 0.52 0.02
2019-03-21 16:56:52.706000 0.8 0.024 0.52 0.02
2019-03-21 16:57:00.796000 0.8 0.024 0.52 0.02
2019-03-21 16:57:08.806000 0.8 0.024 0.52 0.02
2019-03-21 16:57:16.726000 0.8 0.024 0.52 0.02
2019-03-21 16:57:24.716000 0.8 0.024 0.52 0.02
2019-03-21 16:57:32.746000 0.8 0.024 0.52 0.02
2019-03-21 16:57:40.806000 0.8 0.024 0.52 0.02
2019-03-21 16:57:48.746000 0.8 0.024 0.52 0.02
2019-03-21 16:57:56.766000 0.8 0.024 0.52 0.02
2019-03-21 16:58:04.786000 0.8 0.024 0.52 0.02
2019-03-21 16:58:12.786000 0.8 0.024 0.52 0.02
2019-03-21 16:58:20.726000 0.8 0.024 0.52 0.02
2019-03-21 16:58:28.786000 0.8 0.024 0.52 0.02
2019-03-21 16:58:36.726000 0.8 0.024 0.52 0.02
2019-03-21 16:58:44.826000 0.8 0.024 0.52 0.02
2019-03-21 16:58:52.776000 0.8 0.024 0.52 0.02
2019-03-21 16:59:00.756000 0.8 0.024 0.52 0.02
2019-03-21 16:59:08.716000 0.8 0.024 0.52 0.02
2019-03-21 16:59:16.766000 0.8 0.024 0.52 0.02
2019-03-21 16:59:24.916000 0.8 0.024 0.52 0.02
2019-03-21 16:59:32.876000 0.8 0.024 0.52 0.02
2019-03-21 16:59:40.926000 0.8 0.024 0.52 0.02
2019-03-21 16:59:48.946000 0.8 0.024 0.52 0.02
2019-03-21 16:59:56.866000 0.8 0.024 0.52 0.02
2019-03-21 17:00:04.996000 0.8 0.024 0.52 0.02
2019-03-21 17:00:13.036000 0.8 0.024 0.52 0.02
2019-03-21 17:00:21.026000 0.8 0.024 0.52 0.02
2019-03-21 17:00:29.076000 0.8 0.024 0.52 0.02
2019-03-21 17:00:37.216000 0.8 0.024 0.52 0.02
2019-03-21 17:00:45.196000 0.8 0.024 0.52 0.02
2019-03-21 17:00:53.216000 0.8 0.024 0.52 0.02
2019-03-21 17:01:01.296000 0.8 0.024 0.52 0.02
2019-03-21 17:01:09.386000 0.8 0.024 0.52 0.02
2019-03-21 17:01:17.396000 0.8 0.024 0.52 0.02
2019-03-21 17:01:25.376000 0.8 0.024 0.52 0.02
2019-03-21 17:01:33.486000 0.8 0.024 0.52 0.02
2019-03-21 17:01:41.466000 0.8 0.024 0.52 0.02
2019-03-21 17:01:49.456000 0.8 0.024 0.52 0.02
